Fecha,DV,VV
2026-03-23 00:00:00,163.0,3.6
2026-03-23 00:10:00,162.0,3.9
2026-03-23 00:20:00,166.0,3.7
2026-03-23 00:30:00,168.0,4.0
2026-03-23 00:40:00,169.0,4.3
2026-03-23 00:50:00,169.0,4.4
2026-03-23 01:00:00,165.0,3.5
2026-03-23 01:10:00,157.0,3.0
2026-03-23 01:20:00,160.0,3.2
2026-03-23 01:30:00,159.0,3.4
2026-03-23 01:40:00,161.0,3.0
2026-03-23 01:50:00,158.0,3.3
2026-03-23 02:00:00,163.0,3.1
2026-03-23 02:10:00,161.0,3.3
2026-03-23 02:20:00,157.0,3.7
2026-03-23 02:30:00,160.0,3.5
2026-03-23 02:40:00,165.0,3.4
2026-03-23 02:50:00,166.0,3.6
2026-03-23 03:00:00,166.0,3.7
2026-03-23 03:10:00,165.0,2.9
2026-03-23 03:20:00,162.0,3.2
2026-03-23 03:30:00,149.0,3.0
2026-03-23 03:40:00,152.0,2.6
2026-03-23 03:50:00,154.0,3.2
2026-03-23 04:00:00,147.0,2.8
2026-03-23 04:10:00,152.0,2.9
2026-03-23 04:20:00,147.0,2.5
2026-03-23 04:30:00,145.0,2.3
2026-03-23 04:40:00,143.0,2.6
2026-03-23 04:50:00,145.0,2.5
2026-03-23 05:00:00,158.0,2.4
2026-03-23 05:10:00,161.0,2.2
2026-03-23 05:20:00,158.0,2.0
2026-03-23 05:30:00,164.0,2.3
2026-03-23 05:40:00,162.0,2.0
2026-03-23 05:50:00,161.0,2.2
2026-03-23 06:00:00,162.0,2.0
2026-03-23 06:10:00,159.0,1.9
2026-03-23 06:20:00,164.0,2.0
2026-03-23 06:30:00,159.0,2.0
2026-03-23 06:40:00,161.0,2.0
2026-03-23 06:50:00,155.0,2.6
2026-03-23 07:00:00,157.0,2.5
2026-03-23 07:10:00,137.0,2.3
2026-03-23 07:20:00,132.0,2.6
2026-03-23 07:30:00,138.0,2.7
2026-03-23 07:40:00,137.0,2.3
2026-03-23 07:50:00,142.0,2.4
2026-03-23 08:00:00,151.0,2.5
2026-03-23 08:10:00,151.0,3.2
2026-03-23 08:20:00,151.0,3.0
2026-03-23 08:30:00,152.0,3.6
2026-03-23 08:40:00,164.0,3.5
2026-03-23 08:50:00,170.0,2.4
2026-03-23 09:00:00,167.0,2.7
2026-03-23 09:10:00,170.0,2.8
2026-03-23 09:20:00,173.0,3.1
2026-03-23 09:30:00,175.0,3.6
2026-03-23 09:40:00,175.0,4.0
2026-03-23 09:50:00,175.0,3.6
2026-03-23 10:00:00,176.0,3.5
2026-03-23 10:10:00,177.0,3.5
2026-03-23 10:20:00,177.0,4.0
2026-03-23 10:30:00,173.0,3.9
2026-03-23 10:40:00,174.0,3.6
2026-03-23 10:50:00,178.0,4.4
2026-03-23 11:00:00,177.0,4.2
2026-03-23 11:10:00,176.0,4.3
2026-03-23 11:20:00,172.0,3.9
2026-03-23 11:30:00,174.0,3.7
2026-03-23 11:40:00,175.0,4.0
2026-03-23 11:50:00,180.0,3.6
2026-03-23 12:00:00,181.0,3.3
2026-03-23 12:10:00,186.0,3.4
2026-03-23 12:20:00,186.0,3.0
2026-03-23 12:30:00,182.0,2.9
2026-03-23 12:40:00,197.0,2.3
2026-03-23 12:50:00,198.0,2.9
2026-03-23 13:00:00,197.0,3.2
2026-03-23 13:10:00,198.0,2.9
2026-03-23 13:20:00,199.0,3.4
2026-03-23 13:30:00,195.0,3.1
2026-03-23 13:40:00,201.0,2.7
2026-03-23 13:50:00,196.0,3.1
2026-03-23 14:00:00,191.0,2.6
2026-03-23 14:10:00,201.0,2.4
2026-03-23 14:20:00,196.0,2.5
2026-03-23 14:30:00,181.0,2.9
2026-03-23 14:40:00,176.0,3.3
2026-03-23 14:50:00,182.0,3.3
2026-03-23 15:00:00,196.0,2.7
2026-03-23 15:10:00,186.0,3.0
2026-03-23 15:20:00,181.0,3.2
2026-03-23 15:30:00,179.0,3.6
2026-03-23 15:40:00,181.0,3.7
2026-03-23 15:50:00,179.0,3.8
2026-03-23 16:00:00,179.0,3.9
2026-03-23 16:10:00,176.0,4.2
2026-03-23 16:20:00,178.0,4.4
2026-03-23 16:30:00,170.0,4.3
2026-03-23 16:40:00,166.0,3.9
2026-03-23 16:50:00,167.0,3.9
2026-03-23 17:00:00,170.0,4.1
2026-03-23 17:10:00,170.0,4.1
2026-03-23 17:20:00,170.0,3.9
2026-03-23 17:30:00,170.0,3.7
2026-03-23 17:40:00,167.0,2.9
2026-03-23 17:50:00,163.0,3.6
2026-03-23 18:00:00,168.0,3.6
2026-03-23 18:10:00,169.0,3.2
2026-03-23 18:20:00,171.0,3.4
2026-03-23 18:30:00,173.0,4.0
2026-03-23 18:40:00,171.0,3.6
2026-03-23 18:50:00,172.0,3.8
2026-03-23 19:00:00,178.0,3.8
2026-03-23 19:10:00,182.0,3.5
2026-03-23 19:20:00,176.0,3.8
2026-03-23 19:30:00,178.0,3.7
2026-03-23 19:40:00,178.0,4.1
2026-03-23 19:50:00,171.0,3.9
2026-03-23 20:00:00,165.0,3.6
2026-03-23 20:10:00,161.0,3.2
2026-03-23 20:20:00,164.0,3.2
2026-03-23 20:30:00,164.0,3.6
2026-03-23 20:40:00,161.0,3.1
2026-03-23 20:50:00,165.0,3.0
2026-03-23 21:00:00,158.0,3.4
2026-03-23 21:10:00,158.0,3.0
2026-03-23 21:20:00,154.0,3.3
2026-03-23 21:30:00,156.0,3.4
2026-03-23 21:40:00,159.0,3.2
2026-03-23 21:50:00,157.0,2.6
2026-03-23 22:00:00,148.0,3.3
2026-03-23 22:10:00,147.0,2.9
2026-03-23 22:20:00,155.0,3.3
2026-03-23 22:30:00,157.0,3.2
2026-03-23 22:40:00,155.0,2.6
2026-03-23 22:50:00,155.0,2.8
2026-03-23 23:00:00,157.0,3.0
2026-03-23 23:10:00,155.0,2.8
2026-03-23 23:20:00,153.0,3.4
2026-03-23 23:30:00,161.0,3.4
2026-03-23 23:40:00,152.0,3.3
2026-03-23 23:50:00,154.0,3.1
2026-03-24 00:00:00,158.0,3.1
2026-03-24 00:10:00,146.0,2.5
2026-03-24 00:20:00,149.0,2.6
2026-03-24 00:30:00,149.0,3.2
2026-03-24 00:40:00,157.0,2.5
2026-03-24 00:50:00,164.0,2.3
2026-03-24 01:00:00,169.0,2.1
2026-03-24 01:10:00,162.0,1.8
2026-03-24 01:20:00,162.0,2.3
2026-03-24 01:30:00,169.0,2.7
2026-03-24 01:40:00,175.0,3.4
2026-03-24 01:50:00,180.0,3.6
2026-03-24 02:00:00,182.0,3.4
2026-03-24 02:10:00,178.0,3.5
2026-03-24 02:20:00,172.0,3.8
2026-03-24 02:30:00,174.0,3.8
2026-03-24 02:40:00,164.0,2.9
2026-03-24 02:50:00,155.0,3.0
2026-03-24 03:00:00,157.0,2.7
2026-03-24 03:10:00,160.0,3.1
2026-03-24 03:20:00,151.0,2.7
2026-03-24 03:30:00,147.0,2.7
2026-03-24 03:40:00,147.0,2.7
2026-03-24 03:50:00,154.0,2.9
2026-03-24 04:00:00,150.0,2.3
2026-03-24 04:10:00,158.0,2.8
2026-03-24 04:20:00,158.0,2.6
2026-03-24 04:30:00,165.0,2.7
2026-03-24 04:40:00,157.0,2.6
2026-03-24 04:50:00,163.0,2.2
2026-03-24 05:00:00,167.0,2.0
2026-03-24 05:10:00,169.0,2.9
2026-03-24 05:20:00,170.0,2.8
2026-03-24 05:30:00,172.0,2.7
2026-03-24 05:40:00,165.0,2.1
2026-03-24 05:50:00,154.0,2.2
2026-03-24 06:00:00,161.0,2.0
2026-03-24 06:10:00,158.0,2.0
2026-03-24 06:20:00,149.0,2.0
2026-03-24 06:30:00,152.0,1.8
2026-03-24 06:40:00,168.0,2.0
2026-03-24 06:50:00,172.0,2.6
2026-03-24 07:00:00,169.0,2.2
2026-03-24 07:10:00,169.0,2.3
2026-03-24 07:20:00,158.0,1.8
2026-03-24 07:30:00,153.0,1.6
2026-03-24 07:40:00,147.0,1.9
2026-03-24 07:50:00,148.0,2.1
2026-03-24 08:00:00,141.0,2.1
2026-03-24 08:10:00,149.0,2.5
2026-03-24 08:20:00,153.0,2.3
2026-03-24 08:30:00,158.0,2.2
2026-03-24 08:40:00,160.0,2.6
2026-03-24 08:50:00,159.0,2.8
2026-03-24 09:00:00,161.0,2.6
2026-03-24 09:10:00,166.0,3.0
2026-03-24 09:20:00,172.0,3.2
2026-03-24 09:30:00,176.0,2.8
2026-03-24 09:40:00,177.0,2.6
2026-03-24 09:50:00,175.0,2.6
2026-03-24 10:00:00,175.0,2.7
2026-03-24 10:10:00,176.0,2.8
2026-03-24 10:20:00,182.0,2.4
2026-03-24 10:30:00,176.0,3.0
2026-03-24 10:40:00,181.0,2.9
2026-03-24 10:50:00,179.0,3.2
2026-03-24 11:00:00,178.0,3.2
2026-03-24 11:10:00,185.0,2.6
2026-03-24 11:20:00,198.0,2.6
2026-03-24 11:30:00,195.0,2.3
2026-03-24 11:40:00,198.0,2.2
2026-03-24 11:50:00,197.0,2.3
2026-03-24 12:00:00,204.0,2.6
2026-03-24 12:10:00,200.0,2.6
2026-03-24 12:20:00,194.0,2.6
2026-03-24 12:30:00,193.0,2.7
2026-03-24 12:40:00,209.0,2.4
2026-03-24 12:50:00,211.0,2.8
2026-03-24 13:00:00,209.0,3.2
2026-03-24 13:10:00,209.0,3.5
2026-03-24 13:20:00,210.0,3.8
2026-03-24 13:30:00,211.0,3.7
2026-03-24 13:40:00,214.0,3.2
2026-03-24 13:50:00,217.0,3.3
2026-03-24 14:00:00,210.0,3.7
2026-03-24 14:10:00,214.0,3.6
2026-03-24 14:20:00,217.0,3.4
2026-03-24 14:30:00,218.0,2.9
2026-03-24 14:40:00,215.0,3.3
2026-03-24 14:50:00,210.0,3.6
2026-03-24 15:00:00,206.0,3.7
2026-03-24 15:10:00,210.0,3.4
2026-03-24 15:20:00,205.0,2.7
2026-03-24 15:30:00,199.0,2.6
2026-03-24 15:40:00,204.0,2.6
2026-03-24 15:50:00,199.0,3.0
2026-03-24 16:00:00,196.0,3.5
2026-03-24 16:10:00,193.0,2.4
2026-03-24 16:20:00,183.0,3.1
2026-03-24 16:30:00,186.0,3.1
2026-03-24 16:40:00,180.0,3.5
2026-03-24 16:50:00,177.0,3.8
2026-03-24 17:00:00,175.0,3.5
2026-03-24 17:10:00,167.0,3.9
2026-03-24 17:20:00,160.0,3.6
2026-03-24 17:30:00,161.0,4.1
2026-03-24 17:40:00,160.0,3.7
2026-03-24 17:50:00,156.0,4.2
2026-03-24 18:00:00,160.0,4.2
2026-03-24 18:10:00,158.0,3.9
2026-03-24 18:20:00,158.0,2.9
2026-03-24 18:30:00,159.0,3.6
2026-03-24 18:40:00,160.0,3.4
2026-03-24 18:50:00,156.0,3.0
2026-03-24 19:00:00,152.0,2.9
2026-03-24 19:10:00,156.0,3.1
2026-03-24 19:20:00,159.0,3.3
2026-03-24 19:30:00,160.0,2.5
2026-03-24 19:40:00,161.0,3.3
2026-03-24 19:50:00,161.0,3.6
2026-03-24 20:00:00,160.0,3.2
2026-03-24 20:10:00,149.0,2.7
2026-03-24 20:20:00,150.0,3.4
2026-03-24 20:30:00,154.0,2.5
2026-03-24 20:40:00,149.0,3.2
2026-03-24 20:50:00,150.0,3.3
2026-03-24 21:00:00,150.0,2.9
2026-03-24 21:10:00,154.0,2.7
2026-03-24 21:20:00,158.0,2.8
2026-03-24 21:30:00,155.0,3.1
2026-03-24 21:40:00,156.0,2.7
2026-03-24 21:50:00,155.0,3.1
2026-03-24 22:00:00,158.0,2.7
2026-03-24 22:10:00,157.0,2.2
2026-03-24 22:20:00,159.0,3.0
2026-03-24 22:30:00,164.0,3.2
2026-03-24 22:40:00,167.0,2.5
2026-03-24 22:50:00,161.0,2.5
2026-03-24 23:00:00,164.0,2.6
2026-03-24 23:10:00,162.0,2.8
2026-03-24 23:20:00,162.0,2.5
2026-03-24 23:30:00,161.0,2.8
2026-03-24 23:40:00,162.0,2.7
2026-03-24 23:50:00,165.0,3.1
2026-03-25 00:00:00,168.0,3.5
2026-03-25 00:10:00,170.0,4.2
2026-03-25 00:20:00,165.0,3.0
2026-03-25 00:30:00,159.0,2.6
2026-03-25 00:40:00,154.0,3.0
2026-03-25 00:50:00,156.0,2.9
2026-03-25 01:00:00,160.0,2.9
2026-03-25 01:10:00,157.0,3.1
2026-03-25 01:20:00,162.0,3.1
2026-03-25 01:30:00,162.0,3.1
2026-03-25 01:40:00,158.0,2.3
2026-03-25 01:50:00,168.0,2.6
2026-03-25 02:00:00,173.0,3.1
2026-03-25 02:10:00,177.0,3.0
2026-03-25 02:20:00,169.0,2.6
2026-03-25 02:30:00,172.0,2.6
2026-03-25 02:40:00,173.0,2.7
2026-03-25 02:50:00,178.0,2.6
2026-03-25 03:00:00,171.0,2.3
2026-03-25 03:10:00,169.0,2.2
2026-03-25 03:20:00,169.0,2.6
2026-03-25 03:30:00,170.0,3.1
2026-03-25 03:40:00,172.0,2.8
2026-03-25 03:50:00,167.0,2.4
2026-03-25 04:00:00,163.0,2.1
2026-03-25 04:10:00,154.0,2.3
2026-03-25 04:20:00,157.0,2.6
2026-03-25 04:30:00,160.0,2.5
2026-03-25 04:40:00,159.0,2.5
2026-03-25 04:50:00,156.0,2.4
2026-03-25 05:00:00,154.0,2.4
2026-03-25 05:10:00,148.0,2.6
2026-03-25 05:20:00,156.0,2.5
2026-03-25 05:30:00,151.0,2.6
2026-03-25 05:40:00,157.0,2.5
2026-03-25 05:50:00,156.0,1.8
2026-03-25 06:00:00,150.0,1.9
2026-03-25 06:10:00,142.0,2.5
2026-03-25 06:20:00,141.0,2.3
2026-03-25 06:30:00,144.0,2.3
2026-03-25 06:40:00,148.0,2.2
2026-03-25 06:50:00,136.0,2.0
2026-03-25 07:00:00,139.0,1.8
2026-03-25 07:10:00,129.0,1.8
2026-03-25 07:20:00,132.0,1.7
2026-03-25 07:30:00,143.0,1.9
2026-03-25 07:40:00,141.0,1.8
2026-03-25 07:50:00,147.0,2.5
2026-03-25 08:00:00,153.0,2.7
2026-03-25 08:10:00,152.0,3.6
2026-03-25 08:20:00,159.0,2.4
2026-03-25 08:30:00,153.0,2.6
2026-03-25 08:40:00,162.0,2.6
2026-03-25 08:50:00,160.0,2.8
2026-03-25 09:00:00,174.0,2.9
2026-03-25 09:10:00,172.0,2.8
2026-03-25 09:20:00,175.0,2.6
2026-03-25 09:30:00,177.0,2.7
2026-03-25 09:40:00,176.0,3.1
2026-03-25 09:50:00,174.0,3.1
2026-03-25 10:00:00,175.0,3.2
2026-03-25 10:10:00,178.0,3.0
2026-03-25 10:20:00,182.0,2.3
2026-03-25 10:30:00,177.0,2.7
2026-03-25 10:40:00,179.0,3.4
2026-03-25 10:50:00,178.0,3.7
2026-03-25 11:00:00,175.0,3.1
2026-03-25 11:10:00,181.0,2.8
2026-03-25 11:20:00,191.0,2.2
2026-03-25 11:30:00,201.0,2.7
2026-03-25 11:40:00,210.0,2.9
2026-03-25 11:50:00,209.0,2.9
2026-03-25 12:00:00,210.0,3.2
2026-03-25 12:10:00,218.0,2.7
2026-03-25 12:20:00,227.0,2.7
2026-03-25 12:30:00,217.0,2.7
2026-03-25 12:40:00,217.0,2.8
2026-03-25 12:50:00,221.0,2.5
2026-03-25 13:00:00,222.0,2.6
2026-03-25 13:10:00,222.0,2.6
2026-03-25 13:20:00,210.0,3.1
2026-03-25 13:30:00,210.0,3.5
2026-03-25 13:40:00,207.0,3.3
2026-03-25 13:50:00,208.0,3.3
2026-03-25 14:00:00,209.0,3.4
2026-03-25 14:10:00,209.0,3.6
2026-03-25 14:20:00,214.0,3.4
2026-03-25 14:30:00,211.0,3.8
2026-03-25 14:40:00,210.0,4.0
2026-03-25 14:50:00,208.0,3.9
2026-03-25 15:00:00,208.0,3.3
2026-03-25 15:10:00,207.0,3.0
2026-03-25 15:20:00,205.0,3.1
2026-03-25 15:30:00,205.0,2.6
2026-03-25 15:40:00,202.0,2.4
2026-03-25 15:50:00,204.0,2.5
2026-03-25 16:00:00,199.0,2.7
2026-03-25 16:10:00,198.0,2.8
2026-03-25 16:20:00,184.0,2.8
2026-03-25 16:30:00,186.0,2.7
2026-03-25 16:40:00,186.0,2.6
2026-03-25 16:50:00,180.0,2.6
2026-03-25 17:00:00,182.0,2.7
2026-03-25 17:10:00,179.0,2.9
2026-03-25 17:20:00,167.0,3.3
2026-03-25 17:30:00,166.0,3.3
2026-03-25 17:40:00,169.0,3.1
2026-03-25 17:50:00,171.0,3.1
2026-03-25 18:00:00,167.0,3.0
2026-03-25 18:10:00,170.0,3.2
2026-03-25 18:20:00,166.0,2.7
2026-03-25 18:30:00,165.0,2.9
2026-03-25 18:40:00,163.0,2.6
2026-03-25 18:50:00,164.0,2.7
2026-03-25 19:00:00,162.0,2.5
2026-03-25 19:10:00,160.0,3.0
2026-03-25 19:20:00,160.0,3.1
2026-03-25 19:30:00,165.0,3.0
2026-03-25 19:40:00,156.0,2.9
2026-03-25 19:50:00,155.0,3.2
2026-03-25 20:00:00,153.0,2.6
2026-03-25 20:10:00,150.0,2.7
2026-03-25 20:20:00,152.0,2.8
2026-03-25 20:30:00,148.0,3.5
2026-03-25 20:40:00,151.0,2.8
2026-03-25 20:50:00,148.0,2.7
2026-03-25 21:00:00,146.0,2.5
2026-03-25 21:10:00,154.0,2.9
2026-03-25 21:20:00,155.0,3.4
2026-03-25 21:30:00,152.0,3.1
2026-03-25 21:40:00,158.0,2.7
2026-03-25 21:50:00,155.0,2.5
2026-03-25 22:00:00,156.0,2.4
2026-03-25 22:10:00,160.0,2.9
2026-03-25 22:20:00,156.0,2.1
2026-03-25 22:30:00,157.0,1.9
2026-03-25 22:40:00,158.0,2.4
2026-03-25 22:50:00,163.0,1.9
2026-03-25 23:00:00,164.0,2.2
2026-03-25 23:10:00,162.0,2.2
2026-03-25 23:20:00,165.0,1.9
2026-03-25 23:30:00,165.0,1.9
2026-03-25 23:40:00,167.0,2.0
2026-03-25 23:50:00,173.0,2.0
